Q_bauxite_[t/h],date,time,Q_liquid_mill13_[m3/h],Q_liquid_mixer13_[m3/h],Q_liquid_mixer14_[m3/h],l/s_mill13_unloading,plus_160_mill13_unloading_[%],minus_56_mill13_unloading_[%],l/s_sliv_hydrocyclone1,plus_160_sliv_hydrocyclone1_[%],minus_56_sliv_hydrocyclone1_[%],l/s_peski_hydrocyclone1,plus_160_peski_hydrocyclone1_[%],minus_56_peski_hydrocyclone1_[%],l/s_mill14_unloading,plus_160_mill14_unloading_[%],minus_56_mill14_unloading_[%],l/s_sliv_hydrocyclone2,plus_160_sliv_hydrocyclone2_[%],minus_56_sliv_hydrocyclone2_[%],l/s_peski_hydrocyclone2,plus_160_peski_hydrocyclone2_[%],minus_56_peski_hydrocyclone2_[%]
71.5149,17/05/23,13:36÷13:43,42.7,97.7,107.9,3.1,20.85,60.02,5.0,4.09,76.10,,,,3.6,25.99,36.95,5.3,3.21,72.68,,,
67.1803,18/05/23,11:23÷11:32,51.7,49.8,111.6,2.4,19.96,64.64,3.2,5.66,73.07,0.9,51.64,30.41,3.4,13.69,54.37,4.6,4.06,68.08,2.0,35.11,20.12
70.5867,18/05/23,13:32÷13:37,51.5,115.6,176.0,3.7,27.88,50.02,4.8,2.28,79.19,,,,3.0,34.26,30.29,4.9,8.38,56.49,,,
,18/05/23,16:01÷16:07,49.2,100.1,154.1,2.7,19.29,63.20,4.0,14.97,69.11,,,,,,,,,,,,
42.4444,22/05/23,9:22÷9:32,51.8,120.5,159.2,3.6,18.98,58.37,6.8,4.75,84.59,1.0,63.25,13.87,6.3,18.30,33.45,7.9,4.77,64.43,0.7,47.85,5.59
93.5677,22/05/23,11:47÷11:53,51.1,126.2,138.1,2.4,17.14,64.13,4.8,2.65,82.40,,,,3.0,28.68,37.99,4.9,1.64,73.1,,,
61.8826,22/05/23,14:53÷14:59,48.2,125.4,169.4,3.2,21.11,57.71,6.2,0.39,92.32,,,,4.4,24.06,30.73,6.3,1.02,67.41,,,
69.0048,23/05/23,9:14÷9:23,47.0,102.7,138.6,6.0,0.04,93.56,6.1,3.20,89.00,1.2,34.14,35.34,3.4,24.53,32.38,9.1,0.01,99.36,0.7,46.85,19.93
42.3413,23/05/23,11:57÷12:04,52.6,100.7,159.8,3.4,9.17,71.03,5.2,0.63,71.65,,,,5.6,6.89,47.12,7.8,0.06,73.21,,,
60.7948,23/05/23,14:11÷14:15,47.3,117.6,152.3,5.2,8.59,72.40,5.5,0.40,94.45,,,,4.2,18.08,36.39,5.5,0.94,67.18,,,
52.8596,25/05/23,9:05÷9:17,48.2,114.6,187.0,3.4,20.09,62.40,5.9,0.89,82.77,0.7,54.46,25.71,4.8,19.28,46.04,6.4,0.66,78.82,0.7,54.93,11.74
47.5883,25/05/23,11:38÷11:43,45.9,119.4,190.3,3.5,18.14,67.06,4.9,2.05,79.19,,,,5.4,21.21,48.96,5.2,3.07,67.22,,,
86.6575,25/05/23,14:08÷14:13,49.1,137.5,177.3,3.9,21.73,60.91,5.6,0.95,86.39,,,,3.4,28.46,35.55,5.3,3.00,69.48,,,
64.6245,30/05/23,9:47÷9:53,52.9,133.4,163.4,4.4,14.22,70.91,5.0,0.67,87.54,1.1,61.10,13.98,4.5,5.68,65.58,5.8,0.27,87.14,1.1,43.99,3.17
,30/05/23,11:54÷12:00,69.9,149.3,125.8,5.2,8.46,74.98,5.0,5.12,81.43,,,,0.7,27.57,33.13,5.7,3.55,77.66,,,
104.0110,30/05/23,14:22÷14:27,57.0,141.2,141.6,4.7,27.44,50.54,6.1,1.64,86.40,,,,3.0,37.29,20.80,4.8,2.38,72.34,,,
68.0485,31/05/23,9:00÷9:12,50.5,136.6,162.9,3.9,14.64,68.04,5.6,0.90,89.64,0.9,62.75,11.36,4.3,27.82,28.75,5.3,4.08,63.2,0.7,58.28,5.53
96.6944,31/05/23,11:30÷11:36,51.3,138.4,160.7,4.1,17.08,65.90,5.4,2.86,84.49,,,,3.1,34.87,20.39,5.9,1.63,63.96,,,
68.4357,31/05/23,15:25÷15:31,52.1,122.1,176.9,4.0,14.91,70.25,5.5,1.76,75.07,,,,4.0,24.05,40.24,5.9,1.63,63.96,,,
91.5623,01/06/23,8:58÷9:10,45.0,128.5,184.7,3.3,32.08,42.55,4.6,1.90,77.43,0.6,64.03,16.34,3.0,33.26,26.98,5.0,2.72,65.09,0.5,60.3,12.94
97.1414,01/06/23,11:30÷11:37,49.1,128.6,179.9,4.2,17.93,66.95,5.9,1.07,83.13,,,,2.9,25.00,37.43,5.6,3.36,67.57,,,
104.0608,01/06/23,13:45÷13:50,47.8,122.2,171.7,5.6,14.31,63.39,5.8,1.25,81.11,,,,2.6,30.33,32.70,6.0,2.84,72.66,,,
63.8495,07/06/23,9:10÷9:23,50.6,104.0,124.0,3.0,16.13,62.89,5.8,2.11,88.11,1.0,66.56,10.12,3.8,16.56,42.53,5.0,2.11,65.35,1.1,61.74,0.64
46.8650,07/06/23,14:24÷14:28,49.7,100.9,125.7,4.3,23.72,55.19,5.3,0.86,88.67,,,,5.0,22.80,59.29,5.3,2.55,57.14,,,
104.3729,14/06/23,9:08÷9:20,50.4,134.2,165.4,2.8,22.35,58.60,5.0,0.34,94.72,0.6,61.89,18.23,2.5,25.19,37.58,6.2,1.14,70.47,0.7,63.09,1.33
66.9980,14/06/23,11:58÷12:05,50.6,134.0,164.5,4.3,16.29,62.69,5.2,0.58,95.22,,,,2.8,44.00,17.53,11.8,0.01,98.12,,,
76.0893,14/06/23,13:45÷13:50,51.2,134.6,164.3,3.8,17.11,61.71,5.4,0.53,95.63,,,,2.2,35.88,27.43,5.3,3.60,70.0,,,
87.5087,15/06/23,11:10÷11:20,54.6,100.5,114.8,2.8,32.95,45.96,5.3,4.25,87.34,0.7,56.74,19.99,2.7,22.25,32.89,6.7,0.81,80.94,0.7,55.49,3.85
66.7953,15/06/23,14:35÷14:42,49.1,144.0,159.1,4.5,8.65,78.87,6.1,1.17,90.29,,,,2.0,36.40,25.85,5.1,3.01,65.87,,,
115.9439,16/06/23,9:00÷9:11,60.9,136.4,156.3,2.7,35.72,24.39,6.7,2.88,90.94,0.6,63.55,4.92,3.4,24.66,55.34,6.1,3.18,66.44,0.7,51.83,28.42
55.3733,16/06/23,11:30÷11:35,52.2,140.3,159.1,5.4,24.60,54.51,3.5,3.70,74.35,,,,3.1,37.70,30.07,4.1,10.06,50.07,,,
82.2411,16/06/23,13:45÷13:50,51.4,137.2,157.8,3.6,19.83,60.40,6.8,5.35,88.85,,,,2.8,31.19,31.26,7.2,4.46,90.0,,,
93.9880,20/06/23,9:10÷9:27,53.1,132.2,145.1,3.1,22.99,59.09,5.1,1.34,81.65,0.6,62.29,13.81,1.9,36.63,29.32,4.9,3.45,75.26,0.6,65.57,9.45
51.9089,20/06/23,11:40÷11:49,53.7,100.0,110.6,4.6,10.00,70.12,5.2,0.31,93.50,,,,2.5,17.80,46.09,5.0,1.85,74.0,,,
56.1265,20/06/23,13:50÷13:56,52.0,99.7,112.1,4.2,6.92,77.18,5.4,0.17,96.09,,,,2.8,17.26,61.53,5.3,1.10,69.83,,,
57.7061,22/06/23,9:05÷9:15,45.5,136.4,160.2,4.9,25.48,53.82,5.8,1.25,85.05,1.0,78.20,0.46,2.7,28.33,28.47,6.0,1.64,66.81,0.7,57.4,11.42
66.4615,22/06/23,11:43÷11:48,52.4,139.6,157.8,4.5,13.45,70.79,5.6,0.94,84.35,,,,6.0,1.60,66.81,5.8,3.71,52.29,,,
61.5284,22/06/23,13:50÷13:55,51.1,139.2,157.4,4.8,27.52,50.85,6.4,0.90,92.43,,,,3.2,27.18,28.02,8.1,1.71,69.88,,,
87.1173,28/06/23,14:02÷14:17,47.3,142.9,145.0,3.4,18.69,61.14,4.8,3.41,82.28,0.8,76.24,5.60,2.6,31.45,31.55,4.5,3.35,62.88,0.6,68.1,7.49
66.7146,28/06/23,15:20÷15:25,53.4,145.4,158.3,4.6,12.52,72.52,5.7,1.24,86.06,,,,4.3,20.24,41.62,5.5,3.06,71.1,,,
55.3300,12/09/23,9:45÷10:00,52.5,68.3,100.7,3.4,49.80,38.32,6.9,1.19,87.85,1.4,62.20,11.29,2.9,44.93,41.02,6.0,0.85,69.81,1.1,59.39,10.4
36.9784,12/09/23,10:45÷10:58,50.1,65.0,100.0,4.8,16.59,66.86,5.5,1.05,85.22,1.4,56.14,19.15,2.8,11.96,49.27,5.3,0.37,76.96,1.0,33.8,13.78
46.2246,12/09/23,11:40÷11:52,59.5,62.9,109.3,4.1,11.47,73.24,5.6,0.71,86.49,1.1,57.65,22.03,2.9,40.54,44.46,5.9,0.38,73.99,1.0,30.73,20.91
54.3461,12/09/23,15:20÷15:30,60.6,76.1,127.5,3.9,12.36,72.12,5.2,1.29,84.52,1.0,64.20,13.76,2.4,10.04,61.01,5.6,0.44,71.52,0.9,33.53,17.18
55.2992,12/09/23,16:20÷16:30,59.6,90.5,147.8,4.2,28.64,49.77,4.7,2.20,58.11,0.7,73.82,9.75,2.3,36.45,20.49,5.4,1.10,80.7,0.7,52.46,18.65
64.1787,12/09/23,17:10÷17:20,59.4,93.5,144.2,3.7,33.18,17.47,6.4,1.21,80.75,0.8,74.05,5.37,4.3,58.13,5.33,4.6,2.35,62.11,0.9,62.84,0.78
54.9028,25/09/23,14:50÷15:09,66.6,131.9,161.6,5.6,39.77,38.10,6.2,0.96,77.31,1.2,75.58,0.06,2.3,28.21,30.10,5.4,1.79,66.99,0.7,48.53,8.54
49.5319,27/09/23,15:23÷15:35,58.1,101.1,142.4,5.0,19.70,57.02,5.4,0.96,85.11,1.1,74.30,7.17,1.8,27.43,41.09,4.7,0.95,77.56,1.1,65.32,3.57
48.3660,28/09/23,14:30÷14:39,57.4,113.2,171.7,5.5,13.32,63.71,6.3,1.59,83.88,1.1,76.64,2.80,1.9,35.58,20.36,5.8,1.13,84.59,0.6,53.87,4.46
61.9413,02/10/23,15:32÷15:40,57.2,134.3,180.9,4.9,14.10,70.70,7.1,0.06,97.32,0.6,66.50,16.19,1.9,26.33,37.09,5.1,1.79,72.23,0.4,63.65,1.36
101.3303,04/10/23,14:42÷14:50,31.6,115.2,181.5,2.4,23.86,57.00,6.3,0.16,98.12,0.5,53.68,10.44,1.7,30.27,35.89,11.4,0.01,99.41,3.0,30.59,42.1
68.4198,05/10/23,13:50÷14:00,59.4,99.4,159.2,3.6,14.03,64.91,5.3,0.18,97.29,0.7,63.19,19.72,1.5,37.14,32.21,4.6,3.21,73.11,0.6,66.06,13.37
79.0794,06/10/23,14:28÷14:40,55.9,92.8,152.3,3.0,27.53,56.74,4.3,1.54,75.93,0.5,87.18,6.77,1.9,21.47,45.01,4.8,2.32,67.64,0.7,72.00,7.65
